12,Bank,"Een stijlvolle 3 zitsbank  met een moderne uitstraling.
Kleur: Donkergrijs 
Afmetingen: 210x90x85",650,products/5d8f022a-d121-4b0d-aa7d-4a21157082d4.jpeg,2025-07-08 14:28:01.819907,2025-07-08 14:28:01.819944,0,11
13,Eettafel,"Moderne eettafel van massief hout
Materiaal: Eikenhout
Afmetingen: 200x90x75",749,products/09b99f3a-e68a-47c3-9ce3-ef2d23e75bf5.jpeg,2025-07-08 14:33:15.488969,2025-07-08 14:33:15.489001,0,11
14,Smart TV,"4K QLED tv met haarscherp beeld .
Beeldtechniek: QLED.
Dun metalen frame, 55 inch",780,products/bc5c5b81-6640-430f-a957-7e9300563567.jpeg,2025-07-08 14:40:03.013561,2025-07-08 14:40:03.013590,0,2
15,Sony koptelefoon,"Topgeluid en lange batterijduur.
Kleur: zwart.
Batterijduur: 30 uur.",279,products/sony_headphones.jpeg,2025-07-08 14:44:14.574767,2025-07-08 14:44:14.574798,0,2
16,Wandklok,"Een moderne wandklok die elegantie toevoegt aan elke kamer.
Diameter: 40cm
Materiaal: Metaal en glas",39.99,products/Stoere__klok_een_pronkstuk_voor_aan_de_wand_.jpeg,2025-07-08 14:55:32.543624,2025-07-08 14:55:32.543650,0,6
17,Kaarsenhouder,Stijlvolle kaarsenhouder met een minimalistisch design.,15,products/Kandelaar_Stoff_Nagel_set_van_3__Westwing.jpeg,2025-07-08 15:00:35.958872,2025-07-08 15:00:35.958903,0,6
19,Knuffel,Een superzachte knuffel van 100% polyester,12.95,products/Jellycat_minis_display.jpeg,2025-07-08 15:14:46.983273,2025-07-08 15:14:46.983324,0,10
20,Gamingstoel,"Kleur: Zwart\rood.
Draagvermogen: tot 120kg.",350,products/Perfecta_para_largas_partidas_de_Fortnite.jpeg,2025-07-08 15:19:11.833053,2025-07-08 15:19:11.833075,0,12
21,Gaming Monitor,"Snelle en scherpe monitor voor competitieve.
Beeldformaat: 27 inch.",379,products/Z-Edge_32-inch_Curved_Gaming_Monitor.jpeg,2025-07-08 15:26:22.986426,2025-07-08 15:26:22.986456,1,12
22,T-shirt,"Comfortabel en tijdloos T-shirt van katoen.
Kleur: Donkerblauw.
Materiaal: 100% katoen",12.99,products/1ad9f836-99ac-4c6b-88eb-767ca80af9b4.jpeg,2025-07-08 15:32:22.082939,2025-07-08 15:32:22.082992,0,13
23,Sneakers,"Trendy sneakers voor een sportieve en casual look.
Kleur: Wit 
Maten: 36 t/m 42",65,products/Lightweight_Lace-Up_Sneakers__EVA_Sole_Design.jpeg,2025-07-08 15:35:41.581895,2025-07-08 15:35:41.581920,0,13
24,Gezichtcreme,"Lichte, hydraterende dagcreme.
Inhoud: 50ml.
Huidtype: Normaal tot droog.",11,products/Decadent_in_feel_this_hydrating_Face_Cream.jpeg,2025-07-08 15:44:04.729816,2025-07-08 15:44:04.729840,0,14
25,Lipstick,"Kleur:Dieprood.
Houdbaarheid: 8 uur.",9.99,products/.jpeg,2025-07-08 15:46:50.236654,2025-07-08 15:46:50.236707,0,14
26,Kinderwagen,"Een luxe kinderwagen die comfort en stijl combineert.
Kleur: Grijs en zwart
Geschikt voor: 0 tot 4 jaar (tot 22 kg).",320,products/Oi_w3b1kzz.jpeg,2025-07-08 15:57:48.238572,2025-07-08 15:57:48.238597,1,10
